Property_ID,SquareFootage,Bedrooms,Bathrooms,YearBuilt,HouseAge,Neighborhood,GarageCars,LotArea,DistanceToCityCenter,Price
PROP-10077,1906.0,4,3.0,1988,36,Downtown,1.0,8998.0,22.4,478300.0
PROP-10078,2160.0,2,2.0,2022,2,West Hills,,4481.0,20.8,502800.0
PROP-10079,808.0,3,1.0,1967,57,Suburban North,2.0,9523.0,3.5,237900.0
PROP-10080,1957.0,1,2.0,2015,9,Suburban North,3.0,5376.0,6.5,454600.0
PROP-10081,2332.0,2,3.0,2013,11,Metro East,2.0,6293.0,1.1,525900.0
PROP-10082,3061.0,4,3.0,1963,61,West Hills,2.0,8827.0,8.3,663500.0
PROP-10083,1763.0,6,1.5,1994,30,Lakeside,2.0,5841.0,3.6,555500.0
PROP-10084,1574.0,2,1.0,2018,6,Downtown,2.0,7594.0,12.3,417300.0
PROP-10085,1774.0,3,3.0,1962,62,West Hills,1.0,6713.0,17.3,447000.0
PROP-10086,2695.0,4,2.0,2013,11,Lakeside,1.0,7823.0,22.0,602600.0
PROP-10087,2314.0,2,2.0,2004,20,West Hills,1.0,2000.0,19.0,510600.0
PROP-10088,1756.0,3,3.5,1999,25,West Hills,2.0,2926.0,23.5,464800.0
PROP-10089,2434.0,4,1.0,1966,58,Suburban North,1.0,9040.0,2.3,483500.0
PROP-10090,2163.0,3,2.5,1986,38,Downtown,3.0,10093.0,1.3,571700.0
PROP-10091,2730.0,2,1.0,1960,64,Suburban North,1.0,5224.0,16.9,482200.0
PROP-10092,1644.0,3,2.0,1986,38,Suburban North,0.0,6890.0,7.9,387500.0
PROP-10093,1887.0,4,3.0,1975,49,Lakeside,2.0,8237.0,7.1,528900.0
PROP-10094,1845.0,3,2.0,1997,27,Downtown,0.0,9233.0,8.9,453000.0
PROP-10095,1149.0,1,4.0,1966,58,Metro East,1.0,2431.0,7.5,317500.0
PROP-10096,2292.0,4,2.0,2003,21,Metro East,1.0,5285.0,13.3,475300.0
PROP-10097,2270.0,1,2.0,1982,42,Downtown,2.0,6669.0,11.6,522300.0
PROP-10098,2103.0,4,1.5,2000,24,Suburban North,1.0,9258.0,13.3,459400.0
PROP-10099,1948.0,2,2.0,2018,6,Lakeside,2.0,13746.0,17.1,545300.0
PROP-10100,1180.0,5,2.0,1970,54,Metro East,2.0,6930.0,10.3,317100.0
PROP-10101,1827.0,3,1.0,2001,23,Suburban North,1.0,3983.0,7.0,396600.0
PROP-10102,1877.0,3,2.0,2012,12,Suburban North,1.0,8506.0,5.0,476500.0
PROP-10103,1579.0,2,2.0,1992,32,Suburban North,1.0,10802.0,9.4,367200.0
PROP-10104,1995.0,3,2.5,2009,15,West Hills,2.0,7770.0,18.8,516300.0
PROP-10105,2363.0,4,2.5,2022,2,Suburban North,0.0,5233.0,19.2,519100.0
PROP-10106,3326.0,6,2.5,1995,29,West Hills,0.0,9895.0,17.0,681900.0
PROP-10107,2213.0,3,1.0,1996,28,Downtown,2.0,9159.0,6.6,494700.0
PROP-10108,2267.0,3,1.5,2000,24,Downtown,2.0,4935.0,15.1,526000.0
PROP-10109,2052.0,4,2.5,2018,6,Suburban North,1.0,8454.0,14.7,484200.0
PROP-10110,853.0,4,2.0,2022,2,Suburban North,1.0,9993.0,12.6,328700.0
PROP-10111,2083.0,3,1.0,1976,48,Suburban North,3.0,10455.0,14.2,481900.0
PROP-10112,2139.0,3,3.0,1994,30,Suburban North,2.0,7334.0,12.8,480600.0
PROP-10113,3701.0,3,2.5,2007,17,Suburban North,2.0,6605.0,14.6,729200.0
PROP-10114,1975.0,3,2.0,1964,60,Downtown,2.0,10568.0,18.2,484600.0
PROP-10115,2296.0,1,1.0,2007,17,Suburban North,2.0,4475.0,3.6,495600.0
PROP-10116,2077.0,3,2.5,1991,33,Metro East,3.0,8596.0,19.0,467300.0
PROP-10117,1340.0,3,2.0,1962,62,Suburban North,3.0,4075.0,4.3,329700.0
PROP-10118,2843.0,4,2.5,2011,13,Suburban North,1.0,10163.0,2.6,613500.0
PROP-10119,2589.0,2,2.5,2006,18,West Hills,2.0,6855.0,24.4,527200.0
PROP-10120,2614.0,3,3.0,2021,3,Metro East,1.0,10671.0,24.0,524500.0
PROP-10121,1509.0,3,2.0,1994,30,Downtown,1.0,8729.0,2.5,451400.0
PROP-10122,3012.0,3,1.5,2011,13,West Hills,2.0,4442.0,11.6,632700.0
PROP-10123,1189.0,2,2.5,1973,51,West Hills,1.0,11062.0,5.5,368300.0
PROP-10124,2481.0,3,2.5,2022,2,West Hills,3.0,11378.0,12.6,603100.0
PROP-10125,3524.0,3,2.5,2007,17,Downtown,0.0,9706.0,20.9,673100.0
PROP-10126,1456.0,3,1.5,2020,4,West Hills,2.0,5596.0,23.8,341500.0
PROP-10127,1732.0,3,1.5,2020,4,Downtown,3.0,6735.0,16.2,479600.0
PROP-10128,2165.0,3,3.0,1990,34,West Hills,3.0,7864.0,9.5,536800.0
PROP-10129,1773.0,4,2.5,1990,34,West Hills,1.0,5741.0,15.5,426400.0
PROP-10130,1092.0,3,3.0,1976,48,Downtown,1.0,11731.0,8.5,341800.0
PROP-10131,2145.0,4,2.5,2019,5,Lakeside,2.0,7861.0,22.8,547900.0
PROP-10132,1410.0,3,2.0,1983,41,Downtown,1.0,2000.0,21.9,365800.0
PROP-10133,2408.0,2,2.5,2011,13,Lakeside,3.0,8348.0,14.4,611800.0
PROP-10134,1502.0,2,3.0,1982,42,Suburban North,3.0,6630.0,8.8,405000.0
PROP-10135,3107.0,3,2.0,1977,47,Downtown,1.0,7313.0,8.0,671800.0
PROP-10136,1591.0,4,2.5,2009,15,Downtown,1.0,6578.0,1.8,457000.0
PROP-10137,1891.0,4,1.5,2013,11,Metro East,0.0,9518.0,20.6,409200.0
PROP-10138,2629.0,4,2.0,1973,51,Downtown,3.0,10299.0,11.8,611000.0
PROP-10139,1300.0,3,2.5,2009,15,Downtown,1.0,8208.0,8.8,422800.0
PROP-10140,2248.0,3,2.0,1974,50,Suburban North,1.0,6652.0,12.3,454900.0
PROP-10141,2950.0,2,1.5,1974,50,West Hills,1.0,7397.0,20.6,573300.0
PROP-10142,1055.0,3,2.0,1965,59,Suburban North,2.0,7549.0,4.0,320300.0
PROP-10143,2220.0,3,1.5,1986,38,Downtown,0.0,5494.0,21.6,457200.0
PROP-10144,2269.0,2,1.5,1974,50,Suburban North,1.0,8947.0,22.5,428500.0
PROP-10145,2608.0,2,2.0,2009,15,Downtown,3.0,8650.0,23.7,577800.0
PROP-10146,1296.0,3,3.0,1995,29,Downtown,3.0,11351.0,10.5,449100.0
PROP-10147,1242.0,4,2.0,2014,10,Suburban North,2.0,10638.0,6.2,365000.0
PROP-10148,2439.0,6,1.5,1967,57,West Hills,0.0,5786.0,10.0,527000.0
PROP-10149,2293.0,5,1.0,1974,50,Downtown,1.0,9551.0,9.0,537900.0
PROP-10150,2263.0,3,2.5,1962,62,Suburban North,2.0,,5.2,492700.0
PROP-10151,2325.0,3,2.0,2021,3,Suburban North,1.0,9240.0,15.6,525900.0
PROP-10152,1658.0,3,3.0,2006,18,Metro East,3.0,6208.0,12.4,439300.0
PROP-10153,2251.0,4,2.5,1972,52,Metro East,2.0,4942.0,21.8,459200.0
PROP-10154,2290.0,2,2.5,2000,24,Lakeside,0.0,8200.0,1.8,557000.0
PROP-10155,1636.0,3,2.0,1993,31,Downtown,3.0,2000.0,16.5,453600.0
PROP-10156,3313.0,4,2.5,1983,41,Downtown,3.0,3123.0,19.3,710000.0
PROP-10157,2408.0,3,2.0,1999,25,Suburban North,0.0,7056.0,19.2,442500.0
PROP-10158,1326.0,3,3.5,1991,33,Suburban North,2.0,7706.0,22.3,360000.0
PROP-10159,2527.0,3,2.5,2020,4,Suburban North,1.0,6577.0,18.5,504200.0
PROP-10160,1466.0,2,2.0,1991,33,Lakeside,1.0,3551.0,23.3,412500.0
PROP-10161,2612.0,3,2.0,2023,1,Lakeside,1.0,5455.0,9.0,615800.0
PROP-10162,2853.0,3,1.5,1989,35,Lakeside,2.0,8478.0,13.1,628500.0
PROP-10163,1567.0,1,2.5,2011,13,Suburban North,3.0,8954.0,1.3,440800.0
PROP-10164,2726.0,1,1.5,2008,16,West Hills,2.0,7459.0,1.2,588800.0
PROP-10165,2368.0,4,2.0,1972,52,Suburban North,0.0,10392.0,6.8,470500.0
PROP-10166,2634.0,3,2.0,1960,64,Downtown,2.0,8493.0,3.4,586600.0
PROP-10167,3333.0,3,2.5,1993,31,West Hills,1.0,5631.0,7.2,668400.0
PROP-10168,1940.0,3,3.0,2021,3,Downtown,2.0,6799.0,5.2,508200.0
PROP-10169,1610.0,5,2.5,1974,50,Suburban North,1.0,3993.0,1.7,407800.0
PROP-10170,1522.0,3,2.5,2003,21,Suburban North,1.0,7230.0,22.8,363900.0
PROP-10171,1570.0,3,1.5,1973,51,West Hills,1.0,10280.0,1.2,402100.0
PROP-10172,2050.0,4,1.0,2016,8,Lakeside,2.0,9213.0,18.7,500800.0
PROP-10173,2322.0,4,2.5,1988,36,Suburban North,1.0,11005.0,4.7,543800.0
PROP-10174,2280.0,2,2.0,1993,31,Lakeside,2.0,6743.0,22.9,526500.0
PROP-10175,2638.0,4,2.0,1977,47,Suburban North,1.0,10865.0,22.4,521400.0
PROP-10176,2108.0,3,1.0,2013,11,Suburban North,1.0,7017.0,16.7,449600.0
PROP-10177,3045.0,3,2.0,1966,58,West Hills,2.0,11179.0,17.1,595800.0
PROP-10178,1928.0,2,1.0,1988,36,West Hills,3.0,7445.0,1.1,479300.0
PROP-10179,3868.0,2,3.0,2014,10,Metro East,3.0,9268.0,24.6,713600.0
PROP-10180,2507.0,4,1.5,1990,34,Downtown,1.0,11188.0,22.1,530900.0
PROP-10181,1543.0,3,2.0,2023,1,West Hills,1.0,7016.0,22.5,409800.0
PROP-10182,1404.0,3,1.0,2020,4,West Hills,,8046.0,16.8,397700.0
PROP-10183,2414.0,4,2.5,1984,40,Metro East,2.0,10722.0,9.3,533200.0
PROP-10184,1955.0,4,2.0,1997,27,Downtown,2.0,7167.0,22.4,506800.0
PROP-10185,2564.0,2,3.0,1973,51,Lakeside,3.0,4198.0,8.0,603900.0
PROP-10186,2408.0,3,3.0,1967,57,West Hills,3.0,12858.0,14.5,529200.0
PROP-10187,2053.0,2,2.0,1986,38,Suburban North,1.0,6326.0,3.4,472300.0
PROP-10188,1550.0,4,3.0,2013,11,Suburban North,2.0,7897.0,23.1,451500.0
PROP-10189,1115.0,3,4.0,1961,63,Suburban North,2.0,10390.0,4.4,387500.0
PROP-10190,1810.0,5,3.0,1976,48,West Hills,2.0,5979.0,6.4,487400.0
PROP-10191,2657.0,2,3.0,1996,28,Lakeside,0.0,4980.0,14.4,565300.0
PROP-10192,2239.0,2,1.5,1973,51,West Hills,1.0,8134.0,19.3,434300.0
PROP-10193,1290.0,3,2.0,1984,40,West Hills,1.0,3017.0,15.9,314200.0
PROP-10194,2213.0,3,1.0,2015,9,Suburban North,1.0,6780.0,6.6,474900.0
PROP-10195,2350.0,2,1.0,1989,35,Downtown,1.0,8113.0,1.0,552800.0
PROP-10196,1525.0,5,4.0,1988,36,Downtown,0.0,6825.0,19.2,443300.0
PROP-10197,2200.0,2,2.0,1979,45,Suburban North,2.0,3641.0,24.6,441300.0
PROP-10198,2138.0,3,2.5,1980,44,Suburban North,1.0,11485.0,20.4,475700.0
PROP-10199,1357.0,4,3.0,2020,4,Downtown,0.0,7759.0,12.0,418600.0
PROP-10200,2333.0,3,3.0,2012,12,Suburban North,1.0,11078.0,22.7,541100.0
PROP-10201,2465.0,4,4.0,1981,43,Suburban North,2.0,6850.0,10.8,601100.0
PROP-10202,2804.0,2,1.5,1994,30,Suburban North,2.0,5300.0,13.6,543600.0
PROP-10203,2785.0,3,1.0,1996,28,Suburban North,2.0,8173.0,12.5,543000.0
PROP-10204,1205.0,1,2.0,1975,49,Downtown,1.0,6961.0,11.7,346200.0
PROP-10205,1490.0,2,1.5,2009,15,Metro East,3.0,4556.0,19.6,342200.0
PROP-10206,2435.0,5,1.0,2017,7,Lakeside,1.0,11174.0,13.6,572100.0
PROP-10207,2434.0,2,2.0,2023,1,West Hills,1.0,5944.0,8.6,563000.0
PROP-10208,2435.0,3,2.5,2008,16,Downtown,1.0,2899.0,7.2,592600.0
PROP-10209,4604.0,3,2.0,2002,22,Lakeside,1.0,,1.9,914100.0
PROP-10210,2471.0,3,2.0,1976,48,Lakeside,1.0,6239.0,15.0,533400.0
PROP-10211,2838.0,4,2.5,1975,49,Lakeside,3.0,5980.0,6.5,653000.0
PROP-10212,2720.0,1,1.5,2017,7,Downtown,2.0,3087.0,4.6,596700.0
PROP-10213,2523.0,3,1.0,2014,10,West Hills,1.0,11852.0,16.7,525000.0
PROP-10214,1895.0,5,2.5,1961,63,Lakeside,3.0,4276.0,17.3,514200.0
PROP-10215,2593.0,3,2.5,1963,61,West Hills,0.0,7646.0,19.1,532000.0
PROP-10216,1598.0,5,2.5,1980,44,West Hills,1.0,9782.0,13.1,447000.0
PROP-10217,1946.0,2,1.0,1998,26,Suburban North,2.0,8554.0,22.5,427800.0
PROP-10218,1785.0,3,3.0,1993,31,Suburban North,2.0,7351.0,23.5,403900.0
PROP-10219,2153.0,3,2.5,1989,35,Downtown,0.0,3246.0,20.4,472900.0
PROP-10220,3605.0,4,2.0,1965,59,West Hills,1.0,5476.0,16.3,696300.0
PROP-10221,886.0,6,2.5,1976,48,Downtown,2.0,,8.3,390000.0
PROP-10222,2546.0,3,3.0,1998,26,Suburban North,2.0,5532.0,24.6,558700.0
PROP-10223,1052.0,3,2.0,1984,40,Suburban North,2.0,8008.0,7.6,328500.0
PROP-10224,1793.0,2,2.0,1964,60,Suburban North,1.0,9204.0,5.9,425700.0
PROP-10225,2808.0,3,4.0,1964,60,Downtown,0.0,9906.0,11.6,618400.0
PROP-10226,2142.0,3,2.5,1979,45,West Hills,1.0,4435.0,2.4,519000.0
PROP-10227,1399.0,5,2.0,2023,1,Lakeside,1.0,12992.0,24.5,441400.0
PROP-10228,1635.0,3,2.5,1975,49,Downtown,3.0,9419.0,15.1,457100.0
PROP-10229,2542.0,3,2.0,2010,14,Downtown,2.0,7496.0,14.4,602500.0
PROP-10230,1625.0,2,1.5,2000,24,Downtown,1.0,10224.0,16.7,438300.0
PROP-10231,2241.0,2,2.0,1996,28,Lakeside,2.0,13414.0,12.9,563700.0
PROP-10232,2130.0,2,3.5,1999,25,Suburban North,2.0,3903.0,1.8,505500.0
PROP-10233,1676.0,3,3.5,1968,56,Suburban North,1.0,6937.0,15.7,422000.0
PROP-10234,3494.0,4,2.0,1964,60,Downtown,2.0,2000.0,18.2,653800.0
PROP-10235,2512.0,3,2.0,2001,23,West Hills,2.0,7982.0,11.0,537000.0
PROP-10236,784.0,3,1.5,2016,8,Lakeside,2.0,8413.0,19.2,350800.0
PROP-10237,2221.0,2,4.0,1961,63,Lakeside,0.0,7402.0,6.4,535700.0
PROP-10238,1670.0,4,4.0,1968,56,West Hills,2.0,5864.0,6.3,484300.0
PROP-10239,2654.0,4,2.5,2002,22,Downtown,2.0,2376.0,4.9,630700.0
PROP-10240,1585.0,2,3.0,1995,29,Downtown,1.0,8434.0,9.9,447600.0
PROP-10241,2025.0,4,2.5,1981,43,Downtown,1.0,11139.0,21.3,476000.0
PROP-10242,2428.0,3,2.0,2023,1,Suburban North,2.0,6022.0,20.9,529800.0
PROP-10243,2663.0,2,1.0,1981,43,Downtown,0.0,8600.0,10.2,551000.0
PROP-10244,1320.0,3,2.0,1981,43,Suburban North,2.0,3580.0,15.1,361000.0
PROP-10245,1883.0,3,2.5,1993,31,Suburban North,2.0,8643.0,18.3,474100.0
PROP-10246,1791.0,2,2.5,2014,10,Metro East,1.0,6517.0,6.8,413200.0
PROP-10247,1675.0,5,2.0,1988,36,West Hills,0.0,5594.0,5.0,440600.0
PROP-10248,3248.0,4,3.5,1997,27,Lakeside,2.0,5599.0,24.3,692000.0
PROP-10249,2363.0,3,1.5,2018,6,West Hills,1.0,6516.0,15.8,508000.0
PROP-10250,1280.0,3,2.0,2005,19,Downtown,2.0,8456.0,24.6,379100.0
PROP-10251,2697.0,3,2.5,1992,32,West Hills,2.0,4220.0,9.1,610400.0
PROP-10252,3479.0,3,2.5,1977,47,Suburban North,2.0,6507.0,17.9,646000.0
PROP-10253,2771.0,3,2.5,1966,58,West Hills,3.0,7396.0,6.3,623500.0
PROP-10254,1112.0,2,2.0,1960,64,Suburban North,2.0,4752.0,7.3,298200.0
PROP-10255,1785.0,3,1.5,2022,2,Metro East,1.0,11992.0,13.3,399300.0
PROP-10256,2923.0,4,2.5,1992,32,Suburban North,3.0,5366.0,8.7,633300.0
PROP-10257,1640.0,3,2.0,1960,64,Suburban North,2.0,5826.0,5.0,385700.0
PROP-10258,2388.0,2,1.5,1983,41,Metro East,1.0,5054.0,7.3,446800.0
PROP-10259,2604.0,4,2.5,1963,61,Downtown,1.0,11996.0,1.9,568200.0
PROP-10260,1497.0,2,2.0,1963,61,West Hills,2.0,8882.0,17.9,362400.0
PROP-10261,2061.0,3,2.5,2020,4,West Hills,1.0,5159.0,12.8,488300.0
PROP-10262,600.0,2,3.0,1977,47,Lakeside,2.0,10266.0,3.3,322500.0
PROP-10263,1434.0,3,1.5,1986,38,Metro East,2.0,8002.0,5.1,360700.0
PROP-10264,1936.0,4,1.0,2002,22,Metro East,1.0,8143.0,3.5,439700.0
PROP-10265,1289.0,3,2.5,2018,6,Downtown,2.0,6639.0,15.7,419400.0
PROP-10266,3161.0,2,2.5,1991,33,Lakeside,0.0,5626.0,3.3,685600.0
PROP-10267,1170.0,4,2.5,1992,32,West Hills,1.0,8344.0,19.1,364800.0
PROP-10268,1814.0,4,3.0,1987,37,West Hills,2.0,6137.0,1.5,492300.0
PROP-10269,2185.0,4,3.0,2001,23,Downtown,1.0,12042.0,7.0,554400.0
PROP-10270,3037.0,2,3.5,2000,24,West Hills,2.0,4327.0,22.4,633300.0
PROP-10271,1167.0,3,2.0,2014,10,Metro East,2.0,11340.0,18.2,332400.0
PROP-10272,2856.0,6,2.0,1995,29,Metro East,2.0,7222.0,2.8,640100.0
PROP-10273,2107.0,4,2.0,2019,5,Suburban North,0.0,8248.0,20.7,477300.0
PROP-10274,1462.0,1,1.5,1965,59,Downtown,1.0,9583.0,12.8,346900.0
PROP-10275,2400.0,2,2.0,2021,3,Suburban North,2.0,5924.0,21.3,499000.0
PROP-10276,2229.0,3,2.0,1975,49,Lakeside,3.0,9661.0,15.4,565800.0
PROP-10277,1710.0,5,3.5,1993,31,West Hills,2.0,2000.0,17.4,493600.0
PROP-10278,2145.0,3,2.0,1982,42,Suburban North,2.0,5700.0,24.8,461300.0
PROP-10279,1850.0,3,2.0,2009,15,Downtown,1.0,5190.0,6.6,480200.0
PROP-10280,2174.0,2,2.0,2001,23,Suburban North,1.0,,16.0,425100.0
PROP-10281,2530.0,3,1.0,1983,41,Suburban North,2.0,6963.0,12.0,489500.0
PROP-10282,3131.0,4,1.0,2015,9,Metro East,1.0,8464.0,1.9,617800.0
PROP-10283,1295.0,3,2.0,2008,16,West Hills,0.0,9257.0,1.3,385800.0
PROP-10284,3486.0,4,1.0,1972,52,Suburban North,3.0,8102.0,3.9,662600.0
PROP-10285,831.0,5,2.5,2015,9,Suburban North,1.0,5836.0,16.6,310100.0
PROP-10286,2001.0,2,3.0,1977,47,Downtown,1.0,8423.0,14.6,488800.0
PROP-10287,2482.0,3,3.0,2013,11,Metro East,0.0,7811.0,14.3,482200.0
PROP-10288,2283.0,3,2.5,1972,52,Suburban North,3.0,9840.0,1.8,548200.0
PROP-10289,1695.0,4,1.5,2008,16,Suburban North,2.0,9442.0,12.3,419800.0
PROP-10290,1965.0,3,3.0,1996,28,Suburban North,2.0,7576.0,23.2,473200.0
PROP-10291,1780.0,3,3.0,2002,22,West Hills,3.0,5257.0,10.5,478100.0
PROP-10292,1717.0,4,1.5,1998,26,West Hills,1.0,5868.0,16.0,403800.0
PROP-10293,2652.0,3,2.5,2020,4,West Hills,2.0,6126.0,19.7,578100.0
PROP-10294,2332.0,5,2.0,2001,23,Suburban North,0.0,6712.0,19.8,487400.0
PROP-10295,1650.0,3,3.0,1976,48,Suburban North,1.0,8170.0,13.5,388100.0
PROP-10296,2685.0,2,4.0,1974,50,Downtown,2.0,9288.0,21.6,592200.0
PROP-10297,2300.0,3,1.0,1977,47,West Hills,2.0,7372.0,10.4,504600.0
PROP-10298,2628.0,4,3.0,1982,42,Downtown,1.0,,22.3,578600.0
